20,50,100,500,1000,5000,10000,20000,50000
50,185,458,3125,6872,38747,79330,206862,514313
77,159,450,2751,6904,38732,100296,197663,559510
47,192,376,2525,5976,41054,91924,183817,493409
46,116,508,3181,5500,38641,93660,181677,503362
34,142,358,2598,6359,38984,90652,188181,517584
67,202,386,2713,6123,37266,108203,174517,444965
59,150,351,3250,4969,37145,109714,174293,490502
36,161,453,3050,6572,38613,85492,187648,546918
56,173,292,2303,5960,38171,81532,175162,513513
52,138,430,2587,5957,36841,86149,180100,569319
68,162,337,2639,6481,32880,93126,194817,489246
49,167,368,2841,5485,46010,83335,180548,526910
43,200,370,3175,6143,44870,83190,188924,502947
46,163,426,2835,6577,41578,83068,215302,470547
51,158,396,2597,6590,40608,97673,204409,580454
49,138,418,2970,6541,39689,83974,193678,556451
71,169,493,2524,6409,35722,89952,204053,492870
79,162,429,3497,6547,38194,88654,177897,529881
60,158,404,2794,6552,51617,82867,181560,475580
38,189,397,2681,6831,41122,89178,195382,492740
40,240,384,3367,6512,39263,83006,214421,546988
46,221,387,2510,6404,39775,73095,200287,617762
52,159,523,3199,5670,43139,106062,178024,496376
70,156,443,2683,5989,40648,86717,169939,504914
53,175,480,3431,6282,43603,78776,175664,488230
43,204,396,2833,7709,36422,80710,191240,459937
106,188,408,3278,5750,36490,84079,197951,478689
59,158,473,3272,6816,36680,72415,180802,507511
32,200,353,2215,5867,37826,75205,187356,587585
100,169,460,3685,6114,44045,88048,184671,503079
75,138,337,2855,6592,38072,85072,176652,512090
61,194,421,2179,7499,40248,89631,190495,503070
39,107,413,3827,6510,34718,104787,185673,495561
32,148,356,2753,6919,45399,89309,180272,481911
52,175,340,2627,6677,44067,97015,204525,472504
47,196,580,3252,6370,37260,89525,173144,592707
50,123,482,2217,6341,49355,88647,165198,502013
45,181,376,3108,6437,38656,97441,198846,528721
57,209,317,2534,5618,45101,108538,209678,621553
56,165,433,2688,6078,44098,85709,215541,555931
56,177,468,2702,5684,39833,98943,192878,605518
61,190,432,2581,7592,39922,86798,189148,471709
30,223,492,3726,6848,41318,87347,182964,503035
65,147,441,2061,5339,38583,80485,174146,467736
32,159,461,2704,5742,46847,86166,203416,492592
55,179,417,2864,4639,38693,76777,164664,506528
35,122,327,3103,5823,51071,85616,198805,477523
35,193,420,2620,6095,30921,98446,183688,571620
56,233,396,3382,7652,37491,83731,188693,517867
38,167,618,2727,5841,36806,75899,184752,496763
32,190,384,2914,5546,38117,91173,180583,549400
67,183,409,2585,6224,37617,82192,202988,455412
63,281,324,2675,6776,35464,102480,183394,501201
44,174,377,2424,5732,37302,84602,192850,521987
33,181,369,2860,5472,34328,85798,186331,515650
46,199,394,2679,5771,36381,79686,184135,490767
86,112,341,3468,6731,43540,78398,203472,549058
60,179,358,2282,6584,42166,90505,185918,466645
53,157,682,2860,5567,39684,81800,166922,559545
57,159,561,2347,6124,45427,85131,176851,588960
113,176,290,2924,6287,38316,103718,169790,586930
46,187,374,3736,7473,38108,88090,172655,528206
45,163,410,3044,7035,38974,93230,216718,539735
76,184,381,2737,6240,48347,83631,164674,499037
41,168,429,3556,6842,42537,92796,180986,540193
49,132,445,3157,7748,42555,113921,178511,570023
54,216,388,3026,5701,39536,77179,181657,472226
61,183,332,3324,6809,38160,101345,193008,529499
56,204,401,2897,6765,52778,88020,184110,508607
29,197,379,3260,5241,42069,90045,181039,527201
41,149,513,3094,5371,52247,85134,180862,482727
46,189,473,2960,5297,36065,87825,196209,506903
45,171,575,2792,5846,50784,87526,174034,465272
48,218,373,3255,5533,38605,85245,178592,532727
31,186,474,2657,6316,43772,104810,196477,498840
47,210,481,2633,6280,36257,88917,185518,490090
42,234,442,2947,6405,37779,73425,187601,527878
51,176,428,2819,5273,40942,80980,179314,483635
75,126,427,2845,6862,35295,91555,202387,470292
64,169,295,2269,7160,35212,86162,173344,507563
57,186,570,2949,5358,35053,80192,218497,554048
53,231,542,2759,7210,39146,79678,215841,532658
75,252,527,3877,8726,36927,86008,194206,501469
44,165,433,2479,5915,38427,83941,167655,470283
39,170,447,3197,5893,37543,74002,201543,506925
70,166,407,2656,7047,39446,85285,209861,539546
58,178,617,2720,7887,36101,101346,204036,447776
50,169,425,2860,6403,40717,87091,174820,455164
92,203,384,2659,7231,39553,90728,175909,510542
56,201,364,2886,5625,43208,90126,166274,495843
44,115,307,2712,6260,34908,94623,183305,502597
47,199,459,3096,6793,38616,85282,200669,607241
94,179,482,3478,6226,45572,95689,187649,539228
42,169,306,2654,7315,40712,100171,171345,634332
60,139,383,3414,5805,44317,84495,198100,556957
41,200,510,3328,7405,44987,90301,201632,529467
70,186,346,2754,7254,43454,85194,184471,502351
40,153,463,2892,7955,47886,87876,210436,521797
44,154,407,3239,5494,36047,110538,218233,506775
50,145,511,2817,6504,39487,102397,177283,547344
